index,subject,verb,object,start,end,subj_dep,subj_tag,obj_dep,obj_tag,Document,clean_verbs,clean_objs
34,that,might entice,consumers,1176,1182,nsubj,DT,dobj,NNS,0,entice,consumer
35,generation,expose,consumers,1224,1243,nsubj,NN,dobj,NNS,0,expose,consumer
102,legalization,encourages,doctors,1320,1336,nsubj,NN,dobj,NNS,1,encourage,doctor
360,white house,having deported,immigrants,0,12,nsubj,NNP,dobj,NNS,7,deport,immigrant
373,obama administration,had deported,immigrants,342,356,nsubj,NN,dobj,NNS,7,deport,immigrant
403,government,to deport,immigrants,1666,1684,nsubj,NN,dobj,NNS,7,deport,immigrant
410,cops,to hold,immigrant,1835,1845,nsubj,NNS,dobj,NN,7,hold,immigrant
478,plumber,fixes,baker,1344,1351,nsubj,NN,dobj,NNP,8,fix,baker
600,hospitals,held,patients,70,78,nsubj,NNS,dobj,NNS,13,hold,patient
648,'s,call,person,226,232,nsubj,PRP,dobj,NN,16,call,person
707,oxytocin,stops,men,309,311,nsubj,NN,dobj,NNS,17,stop,man
709,. phil,advised,women,364,368,nsubj,NNP,dobj,NNS,17,advise,woman
717,dr. phil,advised,women,474,481,nsubj,NNP,dobj,NNS,17,advise,woman
901,they,would pay,men,310,322,nsubj,PRP,dobj,NNS,21,pay,man
907,you,can't blame,employers,500,506,nsubj,PRP,dobj,NNS,21,blame,employer
908,we,hold,women,532,542,nsubj,PRP,dobj,NNS,21,hold,woman
992,medicare,paid,doctors,449,459,nsubj,NNP,dobj,NNS,24,pay,doctor
1189,gerrymandering,infuriates,voters,414,418,nsubj,VBG,dobj,NNS,31,infuriate,voter
1192,politicians,choose,voters,451,456,nsubj,NNS,dobj,NNS,31,choose,voter
1216,politicians,choose,commissioners,1160,1167,nsubj,NNS,dobj,NNS,31,choose,commissioner
1223,us,elects,winner,1282,1290,nsubj,NNP,dobj,NN,31,elect,winner
1243,county health officials,are asking,parents,426,435,nsubj,NNS,dobj,NNS,32,ask,parent
1311,study,followed,smokers,918,924,nsubj,NN,dobj,NNS,33,follow,smoker
1365,white house,needed,scapegoat,35,59,nsubj,NNP,dobj,NN,35,need,scapegoat
1389,it,distracted,liberals,405,428,nsubj,PRP,dobj,NNS,35,distract,liberal
1428,those,inspire,copycats,562,568,nsubj,DT,dobj,NNS,36,inspire,copycat
1429,who,killed,soldiers,575,598,nsubj,WP,dobj,NNS,36,kill,soldier
1516,subjects,would force,spouses,308,322,nsubj,NNS,dobj,NNS,40,force,spouse
1643,cantu,asked,judge,509,534,nsubj,NNP,dobj,NN,44,ask,judge
1717,naacp chapters,called,enemies,318,340,nsubj,NNS,dobj,NNS,46,call,enemy
1952,creature,visited,children,197,214,nsubj,NN,dobj,NNS,54,visit,child
1985,women,find,man,12,29,nsubj,NNS,dobj,NN,55,find,man
2260,she,studies,college students,492,514,nsubj,PRP,dobj,NNS,64,study,college student
2281,ground crew,found,teenager,168,183,nsubj,NN,dobj,NN,65,find,teenager
2312,care program,pays,doctors,37,52,nsubj,NN,dobj,NNS,66,pay,doctor
2322,finding,pays,doctors,279,308,nsubj,NN,dobj,NNS,66,pay,doctor
2436,sea otter,will approach,female,1408,1427,nsubj,RB,dobj,NN,69,approach,female
2466,they,visit,doctor,31,58,nsubj,PRP,dobj,NN,70,visit,doctor
2485,they,pay,patient,352,357,nsubj,PRP,dobj,NN,70,pay,patient
2641,government,find,applicants,2044,2057,nsubj,NN,dobj,NNS,73,find,applicant
2702,researchers,used,engineering,166,171,nsubj,NNS,dobj,NN,75,use,engineer
2794,chicago police officer,escorts,student,934,940,nsubj,NN,dobj,NN,78,escort,student
2949,workloads,encourage,workers,103,107,nsubj,VBZ,dobj,NNS,83,encourage,worker
2952,employers,should encourage,workers,128,148,nsubj,NNS,dobj,NNS,83,encourage,worker
2962,implication,should encourage,employees,515,528,nsubj,NN,dobj,NNS,83,encourage,employee
2964,employers,should encourage,employees,515,528,nsubj,NNS,dobj,NNS,83,encourage,employee
2966,governments,should encourage,employees,515,528,conj,NNS,dobj,NNS,83,encourage,employee
3052,norms,discourage,women,739,747,nsubj,NNS,dobj,NNS,90,discourage,woman
3215,policy,could exclude,patients,170,186,nsubj,NN,dobj,NNS,97,exclude,patient
3228,policy,could stop,physicians,622,633,nsubj,NN,dobj,NNS,97,stop,physician
3319,this,allowed,lawyers,791,793,nsubj,DT,dobj,NNS,99,allow,lawyer
3536,which,forced,inmates,779,806,nsubj,WDT,dobj,NNS,105,force,inmate
3697,police officer,escorting,woman,193,210,nsubj,NN,dobj,NN,111,escort,woman
4093,china,could restrain,leaders,110,121,nsubj,NNP,dobj,NNS,127,restrain,leader
4171,it,pays,doctors,42,59,nsubj,PRP,dobj,NNS,130,pay,doctor
4242,republicans,berated,doctor,0,24,nsubj,NNPS,dobj,NN,135,berate,doctor
4571,sharing spit,may expose,babies,319,323,nsubj,NN,dobj,NNS,146,expose,baby
4580,mother,hold,baby,671,692,nsubj,NN,dobj,NN,146,hold,baby
4619,businesses,should educate,customers,619,625,nsubj,NNS,dobj,NNS,147,educate,customer
4700,people,have been manipulating,brain,215,224,nsubj,NNS,dobj,NN,151,manipulate,brain
4829,us government,banned,prisoners,0,5,nsubj,NN,dobj,NNS,157,ban,prisoner
5058,department,doesn't deport,immigrants,734,743,nsubj,NNP,dobj,NNS,164,deport,immigrant
5061,it,will exclude,immigrant,922,944,nsubj,PRP,dobj,NN,164,exclude,immigrant
5074,they,prosecute,immigrant,1408,1427,nsubj,PRP,dobj,NN,164,prosecute,immigrant
5097,he,instruct,prosecutors,1900,1904,nsubj,PRP,dobj,NNS,164,instruct,prosecutor
5151,they,help,patients,1131,1159,nsubj,PRP,dobj,NNS,165,help,patient
5320,marijuana legalization,led,adults,62,68,nsubj,NN,dobj,NNS,170,lead,adult
5362,it,saved,patients,244,255,nsubj,PRP,dobj,NNS,172,save,patient
5474,who,love,children,58,70,nsubj,WP,dobj,NNS,175,love,child
5567,cdc,asked,doctors,76,81,nsubj,NNP,dobj,NNS,179,ask,doctor
5571,support,could push,doctors,140,163,nsubj,NN,dobj,NNS,179,push,doctor
5747,capitalism,need,schizophrenics,895,905,nsubj,NN,dobj,NNS,185,need,schizophrenic
6341,opponent rick santorum,endorsed,judge,0,7,nsubj,NNP,dobj,NN,200,endorse,judge
6344,santorum,asked,colleagues,21,32,nsubj,NNP,dobj,NNS,200,ask,colleague
6348,i,urge,colleagues,160,175,nsubj,PRP,dobj,NNS,200,urge,colleague
6373,law,authorizes,secretary,530,537,nsubj,NN,dobj,NNP,201,authorize,secretary
6409,they,counsel,women,1382,1399,nsubj,PRP,dobj,NNS,201,counsel,woman
6425,law,directs,secretary,1660,1664,nsubj,NN,dobj,NNP,201,direct,secretary
6467,that,leaves,patient,213,217,nsubj,DT,dobj,NN,203,leave,patient
6626,companies,are asking,workers,291,298,nsubj,NNS,dobj,NNS,209,ask,worker
6795,defendants,to ask,judges,1273,1323,nsubj,NNS,dobj,NNS,213,ask,judge
6968,plenty,supervising,workers,159,207,nsubj,NN,dobj,NNS,218,supervise,worker
7082,player ray rice,punching,wife,0,14,nsubj,NNP,dobj,NN,223,punch,wife
7428,that,can hurt,children,83,96,nsubj,WDT,dobj,NNS,237,hurt,child
7627,streaming services,teach,consumers,246,260,nsubj,NNS,dobj,NNS,244,teach,consumer
7726,goal,pay,doctors,248,252,nsubj,NN,dobj,NNS,248,pay,doctor
7730,they,encourage,doctors,385,387,nsubj,PRP,dobj,NNS,248,encourage,doctor
7984,who,hid,patient,347,352,nsubj,WP,dobj,NN,258,hide,patient
8155,street journal,asked,americans,883,888,nsubj,NNP,dobj,NNPS,263,ask,american
8159,america,doesn't trust,politicians,1020,1032,nsubj,NNP,dobj,NNS,263,trust,politician
8191,kids,nag,parents,2072,2092,nsubj,NNS,dobj,NNS,263,nag,parent
8299,families,kill,women,188,223,nsubj,NNS,dobj,NNS,269,kill,woman
8626,sex chromosomes,misled,scientists,626,635,nsubj,NNS,dobj,NNS,279,mislead,scientist
8687,they,can teach,parents,109,117,nsubj,PRP,dobj,NNS,281,teach,parent
8689,educators,to engage,parents,137,148,nsubj,NNS,dobj,NNS,281,engage,parent
8708,they,can arrest,parents,627,645,nsubj,PRP,dobj,NNS,281,arrest,parent
8960,it,could push,americans,228,232,nsubj,PRP,dobj,NNPS,293,push,american
9084,i,had dated,guys,1709,1721,nsubj,PRP,dobj,NNS,297,date,guy
9091,government,could identify,immigrants,44,53,nsubj,NN,dobj,NNS,298,identify,immigrant
9105,jail,to detain,immigrant,338,353,nsubj,NN,dobj,NN,298,detain,immigrant
9153,veto,stunned,supporters,1527,1530,nsubj,NN,dobj,NNS,298,stun,supporter
9863,katy perry,kissed,girl,853,883,nsubj,NNP,dobj,NN,319,kiss,girl
9864,i,kissed,girl,853,883,nsubj,PRP,dobj,NN,319,kiss,girl
9943,drug enforcement administration,is intimidating,physicians,0,7,nsubj,NNP,dobj,NNS,322,intimidate,physician
10325,dea,intimidates,doctors,1062,1065,nsubj,NNP,dobj,NNS,334,intimidate,doctor
10326,agency,to intimidate,physicians,1062,1093,nsubj,NN,dobj,NNS,334,intimidate,physician
10431,it,couldn't protect,immigrants,1346,1379,nsubj,PRP,dobj,NNS,336,protect,immigrant
10582,robert pinsky,asked,americans,307,318,nsubj,NNP,dobj,NNPS,343,ask,american
11260,you,should never examine,patient,271,286,nsubj,PRP,dobj,NN,357,examine,patient
11388,adam lanza,murdered,children,318,324,nsubj,NNP,dobj,NNS,360,murder,child
11568,sort,stop,children,3910,3924,nsubj,NN,dobj,NNS,364,stop,child
11629,she,hired,manager,339,343,nsubj,PRP,dobj,NN,367,hire,manager
12275,lawyer,advises,teenagers,1417,1421,nsubj,NN,dobj,NNS,385,advise,teenager
12383,they,'re confusing,customers,797,846,nsubj,PRP,dobj,NNS,388,confuse,customer
12574,pilot program,authorized,pharmacists,1252,1262,nsubj,NN,dobj,NNS,393,authorize,pharmacist
12607,enrollees,visit,doctor,434,443,nsubj,NNS,dobj,NN,394,visit,doctor
12992,he,raped,girl,200,231,nsubj,PRP,dobj,NN,405,rape,girl
13000,taylor,raped,girl,505,511,nsubj,NNP,dobj,NN,405,rape,girl
13070,deputy secretary mayorkas,assured,reporters,618,622,nsubj,NNP,dobj,NNS,407,assure,reporter
13144,countries,don't pay,doctors,123,129,nsubj,NNS,dobj,NNS,414,pay,doctor
13210,smoking,kills,americans,292,301,nsubj,NN,dobj,NNPS,417,kill,american
13487,man,enraged,voters,790,805,nsubj,NN,dobj,NNS,427,enrage,voter
13491,it,punishes,failures,853,862,nsubj,PRP,dobj,NNS,427,punish,failure
13501,it,punishes,failures,1079,1088,nsubj,PRP,dobj,NNS,427,punish,failure
13587,this,has led,commentators,46,50,nsubj,DT,dobj,NNS,430,lead,commentator
13622,country,executes,drug dealers,253,285,nsubj,NN,dobj,NNS,431,execute,drug dealer
13701,officers,to search,suspect,1915,1927,nsubj,NNS,dobj,NN,432,search,suspect
13751,children,defy,authority,581,607,nsubj,NNS,dobj,NN,434,defy,authority
13754,they,had killed,police officers,769,775,nsubj,PRP,dobj,NNS,434,kill,police officer
13758,gang,had killed,kids,824,829,nsubj,NN,dobj,NNS,434,kill,kid
13784,they,protect,kids,1178,1183,nsubj,PRP,dobj,NNS,434,protect,kid
13961,confusion,is attracting,republicans,184,193,nsubj,NN,dobj,NNPS,442,attract,republican
14103,infections,kill,americans,855,862,nsubj,NNS,dobj,NNPS,447,kill,american
14196,parents,warn,children,0,17,nsubj,NNS,dobj,NNS,450,warn,child
14275,war,hurts,minorities,62,79,nsubj,NN,dobj,NNS,452,hurt,minority
14306,va,hire,doctors,213,235,nsubj,NNP,dobj,NNS,453,hire,doctor
14650,that,ask,men,1046,1056,nsubj,WDT,dobj,NNS,465,ask,man
14700,applications,identified,infants,113,129,nsubj,NNS,dobj,NNS,468,identify,infant
14720,title vii,protects,workers,379,389,nsubj,NNP,dobj,NNS,469,protect,worker
14734,panel,advised,americans,224,236,nsubj,NN,dobj,NNPS,470,advise,american
14862,that,have pushed,offenders,599,631,nsubj,WDT,dobj,NNS,473,push,offender
14871,which,forces,americans,1019,1036,nsubj,WDT,dobj,NNPS,473,force,american
14878,which,forced,americans,1167,1184,nsubj,WDT,dobj,NNPS,473,force,american
14893,who,discouraged,voters,197,219,nsubj,WP,dobj,NNS,474,discourage,voter
14921,he,chides,father,462,465,nsubj,PRP,dobj,NN,475,chide,father
15022,president franklin roosevelt,ordered,americans,92,104,nsubj,NNP,dobj,NNPS,481,order,american
15211,he,chose,collaborators,151,158,nsubj,PRP,dobj,NNS,487,choose,collaborator
15316,gallup,asked,americans,27,32,nsubj,NNP,dobj,NNPS,491,ask,american
15462,we,should deport,immigrants,328,339,nsubj,PRP,dobj,NNS,496,deport,immigrant
15504,house,sued,president,49,57,nsubj,NNP,dobj,NN,497,sue,president
15506,house,sued,president,97,108,nsubj,NNP,dobj,NN,497,sue,president
15507,senate,sued,president,97,108,conj,NNP,dobj,NN,497,sue,president
16148,someone,asked,president,45,53,nsubj,NN,dobj,NN,512,ask,president
16281,which,pays,doctors,99,107,nsubj,WDT,dobj,NNS,521,pay,doctor
16387,he,touches,guests,584,619,nsubj,PRP,dobj,NNS,525,touch,guest
16438,she,does not reward,server,2415,2437,nsubj,PRP,dobj,NN,525,reward,server
16574,researchers,will use,patients,629,638,nsubj,NNS,dobj,NNS,528,use,patient
16721,which,directs,president,478,490,nsubj,WDT,dobj,NN,532,direct,president
16857,school,helped,students,448,461,nsubj,NN,dobj,NNS,536,help,student
16878,that,are training,doctors,246,265,nsubj,WDT,dobj,NNS,537,train,doctor
16884,that,train,doctors,525,532,nsubj,WDT,dobj,NNS,537,train,doctor
16961,people,trust,doctors,852,879,nsubj,NNS,dobj,NNS,539,trust,doctor
17115,unhcr researchers,interviewed,children,1517,1522,nsubj,NNS,dobj,NNS,542,interview,child
17116,getty traffickers,forcing,children,1591,1600,nsubj,NNPS,dobj,NNS,542,force,child
17121,patrol agents,weren't asking,children,1823,1829,nsubj,NNS,dobj,NNS,542,ask,child
17326,which,found,men,927,941,nsubj,WDT,dobj,NNS,547,find,man
17341,companies,to attract,workers,61,76,nsubj,NNS,dobj,NNS,548,attract,worker
17345,companies,to attract,workers,198,213,nsubj,NNS,dobj,NNS,548,attract,worker
18016,gallup,asked,republicans,266,273,nsubj,NNP,dobj,NNPS,577,ask,republican
18237,that,might deter,men,811,817,nsubj,DT,dobj,NNS,585,deter,man
18485,stewart,commended,judges,21,76,nsubj,NNP,dobj,NNS,594,commend,judge
