type,actor,behavior,object,ae,ap,aa,be,bp,ba,oe,op,oa,pae,pap,paa,pbe,pbp,pba,poe,pop,poa,def,dae,daa,dap,dbe,dbp,dba,doe,dop,doa
harm,person,hurt,child,0.93,0.95,0.35,-3.17,1.06,0.92,1.89,-1.14,1.87,-2.7484009499999997,1.106637,0.8481799999999999,-2.92643918,1.20218,0.6281,0.3621029999999998,-1.840805,1.3045000000000002,17.113481787202975,-3.67840095,0.49817999999999996,0.15663700000000014,0.2435608199999999,0.14217999999999997,-0.29190000000000005,-1.527897,-0.7008050000000001,-0.5654999999999999
harm,person,kill,person,0.93,0.95,0.35,-4.26,1.95,-0.11,0.93,0.95,0.35,-2.18158602,1.514157,0.63651,-2.62820748,2.009728,-0.07469999999999999,-0.33253099999999997,-1.107089,0.1462,18.617023132802395,-3.1115860200000003,0.28651000000000004,0.564157,1.6317925199999999,0.059728,0.03530000000000001,-1.262531,-2.057089,-0.20379999999999998
harm,teenager,mock,disabled_person,0.24,-0.58,1.78,-2.48,-0.01,1.6,0.32,-1.07,-1.25,-1.7012672,-0.14422600000000005,1.73312,-1.94722128,0.25174,1.5550000000000002,-0.27460399999999996,-1.579335,-0.7915000000000001,5.138199356397678,-1.9412672,-0.04688000000000003,0.4357739999999999,0.53277872,0.26174000000000003,-0.04499999999999993,-0.5946039999999999,-0.5093349999999999,0.4584999999999999
fairness,athlete,deceive,referee,1.81,2.5,2.45,-2.86,0.43,-0.27,0.71,2.06,1.45,-0.5641146599999998,1.7907440000000001,1.9314900000000002,-1.37969972,1.062016,0.3705000000000001,-0.193681,0.19024400000000025,0.8381,14.096338964983993,-2.37411466,-0.51851,-0.7092559999999999,1.4803002799999998,0.6320160000000001,0.6405000000000001,-0.903681,-1.8697559999999998,-0.6119
fairness,employee,lie_to,boss,1.04,-0.37,0.2,-2.52,0.73,-0.19,0.91,2.79,1.07,-0.6190582,0.229373,0.41838000000000003,-1.2105965600000002,0.799596,-0.015399999999999994,0.009719000000000037,0.5580450000000001,0.5636,10.957848021402073,-1.6590582,0.21838000000000002,0.5993729999999999,1.3094034399999999,0.06959599999999999,0.1746,-0.900281,-2.231955,-0.5064000000000001
fairness,athlete,cheat,rival,1.81,2.5,2.45,-3.29,0.15,-0.14,-0.88,1.28,1.32,-0.19230219999999998,1.7183020000000002,1.97588,-1.01732176,1.006407,0.4365000000000001,-1.027979,-0.020179999999999827,0.7350000000000001,13.130498036788339,-2.0023022,-0.4741200000000001,-0.7816979999999998,2.2726782400000003,0.856407,0.5765000000000001,-0.14797899999999997,-1.30018,-0.585
fairness,judge,befriend,defendant,1.15,2.53,-0.22,2.36,2.17,0.16,0.14,-0.32,-0.15,1.3439463999999997,1.827599,-0.036387999999999976,1.2277272,1.7150519999999998,0.11860000000000001,0.31602199999999997,-0.39482400000000006,-0.011600000000000004,2.1111660092017996,0.19394639999999974,0.18361200000000003,-0.7024009999999998,-1.1322728,-0.45494800000000013,-0.04139999999999999,0.17602199999999996,-0.07482400000000006,0.1384
fairness,student,cheat,classmate,1.67,0.48,0.11,-3.29,0.15,-0.14,0.98,0.15,0.24,-1.6895285199999999,0.4750580000000001,0.451624,-2.16631528,0.548731,-0.07690000000000001,-0.165107,-1.053956,0.1345,15.600708969140864,-3.3595285199999996,0.34162400000000004,-0.004941999999999891,1.12368472,0.39873099999999995,0.0631,-1.1451069999999999,-1.2039559999999998,-0.10549999999999998
authority,daughter,disobey,father,1.99,1.07,1.02,-1.39,0.88,0.59,2.69,2.93,0.51,-0.23593180999999988,1.0680290000000001,1.110692,-1.03592618,0.998066,0.683,1.089737,0.6740260000000002,0.263,12.82222755468527,-2.22593181,0.090692,-0.001970999999999945,0.35407382,0.118066,0.09300000000000008,-1.600263,-2.255974,-0.247
authority,girl,interrupt,teacher,2.1,1.41,0.74,-1.99,0.39,1.84,2.5,2.31,0.32,-0.8126802000000001,1.067655,1.289904,-1.664855,0.7243599999999999,1.3652,0.85208,0.24369800000000025,0.1509,16.36009046794204,-2.9126802,0.549904,-0.3423449999999999,0.325145,0.3343599999999999,-0.4748000000000001,-1.64792,-2.066302,-0.1691
